,Winner,Loser,Red,Blue,Knockdowns (R),Knockdowns (B),Significant Strikes (R),Significant Strikes (B),Significant Strikes Percentage (R),Significant Strikes Percentage (B),Total Strikes (R),Total Strikes (B),Takedowns (R),Takedowns (B),Takedowns Percentage (R),Takedowns Percentage (B),Submission Attempts (R),Submission Attempts (B),Reversals (R),Reversals (B),Control Time (seconds) (R),Control Time (seconds) (B)
0,1,0,Alexandre Pantoja,Kai Asakura,0.0,0.0,32.0,17.0,0.61,0.58,33.0,30.0,3.0,0.0,0.42,0.0,1.0,0.0,0.0,0.0,166.0,24.0
1,1,0,Shavkat Rakhmonov,Ian Machado Garry,0.0,0.0,37.0,42.0,0.55,0.5,65.0,102.0,2.0,1.0,0.2,0.5,0.0,2.0,1.0,0.0,701.0,152.0
2,1,0,Ciryl Gane,Alexander Volkov,0.0,0.0,43.0,39.0,0.7,0.54,48.0,105.0,2.0,3.0,0.5,0.75,2.0,1.0,0.0,0.0,220.0,272.0
3,1,0,Bryce Mitchell,Kron Gracie,0.0,0.0,26.0,6.0,0.72,0.19,147.0,90.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,513.0,2.0
4,0,1,Nate Landwehr,Dooho Choi,0.0,0.0,25.0,78.0,0.37,0.67,32.0,114.0,0.0,4.0,0.0,0.8,0.0,0.0,0.0,0.0,42.0,433.0
5,1,0,Dominick Reyes,Anthony Smith,0.0,0.0,121.0,21.0,0.74,0.45,172.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,1.0
6,1,0,Vicente Luque,Themba Gorimbo,0.0,0.0,2.0,5.0,0.33,0.55,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0
7,1,0,Movsar Evloev,Aljamain Sterling,0.0,0.0,8.0,12.0,0.3,0.46,136.0,45.0,4.0,6.0,0.8,0.75,0.0,0.0,1.0,2.0,369.0,376.0
8,0,1,Randy Brown,Bryan Battle,0.0,0.0,60.0,57.0,0.54,0.51,80.0,109.0,2.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,106.0,445.0
9,0,1,Chris Weidman,Eryk Anders,1.0,0.0,16.0,62.0,0.44,0.6,27.0,121.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,135.0,264.0
10,0,1,Cody Durden,Joshua Van,0.0,0.0,70.0,165.0,0.32,0.54,74.0,184.0,2.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,194.0,20.0
11,1,0,Michael Chiesa,Max Griffin,0.0,0.0,13.0,10.0,0.33,0.29,54.0,18.0,2.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,228.0,79.0
12,0,1,Clay Guida,Chase Hooper,0.0,0.0,5.0,7.0,0.38,0.46,6.0,14.0,0.0,3.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,128.0
13,1,0,Kennedy Nzechukwu,Lukasz Brzeski,1.0,0.0,29.0,32.0,0.41,0.46,29.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
14,1,0,Petr Yan,Deiveson Figueiredo,0.0,0.0,121.0,53.0,0.62,0.44,190.0,53.0,1.0,2.0,0.25,0.25,0.0,0.0,1.0,0.0,201.0,180.0
15,1,0,Yan Xiaonan,Tabatha Ricci,0.0,0.0,78.0,15.0,0.48,0.14,89.0,17.0,0.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,16.0
16,0,1,Song Kenan,Muslim Salikhov,0.0,1.0,9.0,20.0,0.42,0.71,11.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0
17,0,1,Wang Cong,Gabriella Fernandes,0.0,1.0,46.0,18.0,0.41,0.3,48.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0
18,0,1,Volkan Oezdemir,Carlos Ulberg,0.0,0.0,96.0,98.0,0.52,0.48,96.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
19,1,0,Zhang Mingyang,Ozzy Diaz,1.0,0.0,17.0,9.0,0.5,0.75,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
20,0,1,Baergeng Jieleyisi,SuYoung You,0.0,0.0,9.0,42.0,0.12,0.48,48.0,85.0,1.0,2.0,1.0,0.4,0.0,0.0,0.0,0.0,17.0,286.0
21,0,1,Kiru Sahota,DongHun Choi,0.0,1.0,2.0,12.0,0.08,0.63,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1,0,Shi Ming,Feng Xiaocan,1.0,0.0,30.0,48.0,0.27,0.47,33.0,58.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,53.0,65.0
23,0,1,Nyamjargal Tumendemberel,Carlos Hernandez,1.0,0.0,26.0,44.0,0.27,0.41,28.0,46.0,0.0,4.0,0.0,0.28,1.0,0.0,1.0,0.0,15.0,285.0
24,1,0,Lone'er Kavanagh,Jose Ochoa,0.0,0.0,51.0,50.0,0.4,0.31,51.0,59.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0
25,1,0,Xiao Long,Quang Le,1.0,0.0,87.0,64.0,0.45,0.41,92.0,68.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,26.0,7.0
26,0,1, Maheshate,Nikolas Motta,0.0,2.0,56.0,78.0,0.33,0.46,60.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
27,1,0,Jon Jones,Stipe Miocic,1.0,0.0,96.0,37.0,0.8,0.41,104.0,42.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0
28,1,0,Charles Oliveira,Michael Chandler,0.0,0.0,88.0,84.0,0.72,0.74,117.0,150.0,5.0,0.0,0.41,0.0,2.0,0.0,0.0,0.0,892.0,119.0
29,1,0,Bo Nickal,Paul Craig,0.0,0.0,54.0,47.0,0.63,0.36,54.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1,0,Viviane Araujo,Karine Silva,0.0,0.0,48.0,58.0,0.56,0.43,105.0,76.0,3.0,1.0,1.0,0.14,1.0,1.0,0.0,0.0,145.0,210.0
31,1,0,Mauricio Ruffy,James Llontop,1.0,0.0,67.0,90.0,0.59,0.38,74.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,80.0
32,0,1,Jonathan Martinez,Marcus McGhee,0.0,0.0,48.0,102.0,0.44,0.45,49.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0
33,1,0,Jim Miller,Damon Jackson,0.0,0.0,10.0,16.0,0.41,0.51,11.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.0
34,1,0,David Onama,Roberto Romero,1.0,1.0,121.0,74.0,0.56,0.47,145.0,79.0,1.0,0.0,0.33,0.0,1.0,0.0,0.0,0.0,263.0,74.0
35,1,0,Marcin Tybura,Jhonata Diniz,0.0,0.0,35.0,15.0,0.71,0.51,153.0,27.0,1.0,0.0,0.33,0.0,0.0,0.0,1.0,0.0,434.0,36.0
36,0,1,Mickey Gall,Ramiz Brahimaj,0.0,1.0,28.0,31.0,0.68,0.55,30.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
37,0,1,Bassil Hafez,Oban Elliott,0.0,1.0,24.0,65.0,0.34,0.55,24.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0
38,0,1,Veronica Hardy,Eduarda Moura,0.0,0.0,46.0,26.0,0.44,0.34,61.0,41.0,0.0,3.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,253.0
39,0,1,Neil Magny,Carlos Prates,0.0,2.0,10.0,12.0,0.5,0.57,23.0,13.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,91.0,69.0
40,0,1,Gerald Meerschaert,Reinier de Ridder,0.0,1.0,30.0,38.0,0.55,0.57,44.0,82.0,0.0,5.0,0.0,0.38,0.0,1.0,1.0,0.0,173.0,209.0
41,1,0,Gaston Bolanos,Cortavious Romious,0.0,0.0,53.0,17.0,0.7,0.37,80.0,30.0,2.0,4.0,1.0,0.66,0.0,0.0,1.0,0.0,269.0,373.0
42,0,1,Luana Pinheiro,Gillian Robertson,0.0,0.0,42.0,52.0,0.4,0.48,63.0,78.0,0.0,5.0,0.0,0.29,0.0,0.0,1.0,1.0,17.0,493.0
43,1,0,Mansur Abdul-Malik,Dusko Todorovic,1.0,0.0,29.0,3.0,0.56,0.6,31.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,3.0
44,0,1,Karolina Kowalkiewicz,Denise Gomes,0.0,0.0,46.0,73.0,0.46,0.5,61.0,91.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,62.0,347.0
45,1,0,Elizeu Zaleski dos Santos,Zachary Scroggin,0.0,0.0,11.0,3.0,0.31,0.37,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
46,0,1,Matthew Semelsberger,Charles Radtke,0.0,0.0,2.0,7.0,0.25,0.58,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,0,1,Cody Stamann,Da'Mon Blackshear,0.0,0.0,13.0,20.0,0.39,0.45,13.0,21.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,79.0
48,1,0,Tresean Gore,Antonio Trocoli,0.0,0.0,3.0,2.0,1.0,0.4,5.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,13.0
49,1,0,Melissa Mullins,Klaudia Sygula,0.0,0.0,38.0,12.0,0.63,0.37,54.0,22.0,2.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,166.0,64.0
50,1,0,Brandon Moreno,Amir Albazi,0.0,0.0,132.0,63.0,0.41,0.26,132.0,63.0,0.0,1.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,9.0
51,1,0,Erin Blanchfield,Rose Namajunas,0.0,0.0,110.0,94.0,0.39,0.38,193.0,101.0,2.0,1.0,0.25,0.25,0.0,0.0,0.0,0.0,534.0,15.0
52,0,1,Caio Machado,Brendson Ribeiro,0.0,0.0,76.0,49.0,0.41,0.37,79.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
53,0,1,Ariane da Silva,Jasmine Jasudavicius,0.0,0.0,42.0,36.0,0.45,0.42,43.0,130.0,0.0,3.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,344.0
54,0,1,Marc-Andre Barriault,Dustin Stoltzfus,0.0,1.0,7.0,13.0,0.63,0.65,13.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,234.0
55,1,0,Mike Malott,Trevin Giles,0.0,0.0,59.0,34.0,0.45,0.43,59.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,0,Aiemann Zahabi,Pedro Munhoz,0.0,0.0,109.0,95.0,0.52,0.29,110.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
57,1,0,Charles Jourdain,Victor Henry,0.0,0.0,39.0,24.0,0.53,0.44,50.0,39.0,0.0,4.0,0.0,0.66,1.0,0.0,0.0,0.0,17.0,229.0
58,0,1,Jack Shore,Youssef Zalal,0.0,1.0,8.0,13.0,0.44,0.48,10.0,21.0,2.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,109.0,127.0
59,1,0,Alexandr Romanov,Rodrigo Nascimento,0.0,0.0,45.0,31.0,0.48,0.34,87.0,48.0,6.0,0.0,0.6,0.0,1.0,0.0,0.0,0.0,453.0,0.0
60,1,0,Serhiy Sidey,Garrett Armfield,0.0,0.0,68.0,71.0,0.47,0.5,75.0,77.0,0.0,4.0,0.0,0.8,3.0,1.0,1.0,0.0,47.0,293.0
61,0,1,Chad Anheliger,Cody Gibson,0.0,0.0,11.0,16.0,0.57,0.47,59.0,59.0,0.0,5.0,0.0,0.83,0.0,2.0,0.0,0.0,0.0,745.0
62,1,0,Jamey-Lyn Horth,Ivana Petrovic,0.0,0.0,29.0,25.0,0.41,0.33,50.0,67.0,2.0,2.0,0.5,0.33,0.0,0.0,0.0,2.0,150.0,465.0
63,1,0,Ilia Topuria,Max Holloway,1.0,0.0,75.0,79.0,0.52,0.38,78.0,84.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0
64,0,1,Robert Whittaker,Khamzat Chimaev,0.0,0.0,2.0,3.0,1.0,0.75,2.0,25.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,200.0
65,1,0,Magomed Ankalaev,Aleksandar Rakic,0.0,0.0,55.0,53.0,0.48,0.45,75.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,60.0
66,1,0,Lerone Murphy,Dan Ige,0.0,1.0,52.0,46.0,0.52,0.43,78.0,52.0,3.0,1.0,0.6,0.33,0.0,0.0,0.0,2.0,137.0,287.0
67,1,0,Shara Magomedov,Armen Petrosyan,1.0,0.0,65.0,77.0,0.61,0.55,67.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0
68,1,0,Ibo Aslan,Rafael Cerqueira,0.0,0.0,28.0,1.0,0.77,1.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,1,0,Geoff Neal,Rafael Dos Anjos,1.0,0.0,18.0,4.0,0.6,0.3,21.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0
70,1,0,Mateusz Rebecki,Myktybek Orolbai,1.0,0.0,71.0,61.0,0.48,0.45,93.0,85.0,3.0,2.0,0.75,0.4,0.0,0.0,0.0,1.0,144.0,125.0
71,1,0,Abus Magomedov,Brunno Ferreira,0.0,0.0,26.0,29.0,0.44,0.4,45.0,36.0,4.0,0.0,0.5,0.0,1.0,1.0,0.0,1.0,216.0,13.0
72,1,0,Kennedy Nzechukwu,Chris Barnett,0.0,0.0,51.0,12.0,0.68,0.35,51.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,1,0,Farid Basharat,Victor Hugo,0.0,0.0,60.0,45.0,0.47,0.36,89.0,48.0,4.0,1.0,0.57,0.25,0.0,1.0,0.0,0.0,277.0,18.0
74,1,0,Ismail Naurdiev,Bruno Silva,0.0,0.0,66.0,36.0,0.56,0.37,107.0,38.0,3.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,351.0,0.0
75,1,0,Rinat Fakhretdinov,Carlos Leal,0.0,0.0,109.0,107.0,0.49,0.43,119.0,146.0,2.0,1.0,0.1,0.25,0.0,0.0,0.0,0.0,194.0,13.0
76,1,0,Anthony Hernandez,Michel Pereira,0.0,0.0,152.0,24.0,0.71,0.45,219.0,29.0,10.0,0.0,0.34,0.0,0.0,1.0,0.0,1.0,942.0,56.0
77,1,0,Rob Font,Kyler Phillips,0.0,0.0,61.0,38.0,0.44,0.3,65.0,50.0,0.0,4.0,0.0,0.8,0.0,0.0,0.0,0.0,79.0,282.0
78,1,0,Charles Johnson, Sumudaerji,1.0,0.0,65.0,75.0,0.43,0.52,84.0,78.0,2.0,0.0,0.33,0.0,0.0,2.0,0.0,1.0,178.0,50.0
79,0,1,Jake Hadley,Cameron Smotherman,0.0,0.0,60.0,96.0,0.36,0.37,70.0,97.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,113.0,0.0
80,1,0,Darren Elkins,Daniel Pineda,0.0,0.0,39.0,31.0,0.44,0.58,102.0,61.0,3.0,0.0,0.25,0.0,0.0,2.0,1.0,1.0,393.0,182.0
81,0,1,Matheus Nicolau,Asu Almabayev,0.0,1.0,16.0,22.0,0.38,0.4,38.0,55.0,0.0,1.0,0.0,0.16,1.0,0.0,0.0,0.0,0.0,317.0
82,0,1,Brad Katona,Jean Matsumoto,0.0,0.0,89.0,89.0,0.63,0.44,117.0,109.0,3.0,1.0,0.37,0.14,0.0,0.0,0.0,0.0,215.0,124.0
83,1,0,Joselyne Edwards,Tamires Vidal,0.0,0.0,81.0,34.0,0.6,0.49,151.0,53.0,4.0,0.0,0.57,0.0,2.0,0.0,0.0,0.0,270.0,155.0
84,0,1,Jessica Penne,Elise Reed,0.0,0.0,54.0,117.0,0.43,0.62,98.0,229.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,196.0,30.0
85,1,0,Melissa Martinez,Alice Ardelean,0.0,0.0,72.0,92.0,0.49,0.41,78.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
86,1,0,Austen Lane,Robelis Despaigne,0.0,0.0,23.0,31.0,0.6,0.67,78.0,48.0,3.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,538.0,0.0
87,1,0,Brandon Royval,Tatsuro Taira,0.0,0.0,124.0,42.0,0.53,0.42,172.0,80.0,3.0,6.0,1.0,0.4,3.0,1.0,2.0,0.0,143.0,733.0
88,0,1,Brad Tavares,JunYong Park,0.0,0.0,65.0,99.0,0.43,0.55,73.0,124.0,0.0,2.0,0.0,0.33,0.0,0.0,0.0,0.0,42.0,392.0
89,1,0,Chidi Njokuani,Jared Gooden,0.0,0.0,105.0,20.0,0.7,0.4,162.0,81.0,0.0,2.0,0.0,0.25,0.0,1.0,0.0,0.0,556.0,149.0
90,1,0,Grant Dawson,Rafa Garcia,0.0,0.0,44.0,5.0,0.48,0.41,80.0,29.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,309.0,0.0
91,1,0,Daniel Rodriguez,Alex Morono,0.0,0.0,123.0,74.0,0.47,0.28,126.0,91.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0
92,0,1,CJ Vergara,Ramazan Temirov,0.0,3.0,4.0,23.0,0.25,0.41,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
93,0,1,Jonathan Pearce,Pat Sabatini,0.0,0.0,2.0,3.0,1.0,0.6,32.0,19.0,0.0,2.0,0.0,0.66,0.0,1.0,0.0,0.0,0.0,236.0
94,1,0,Themba Gorimbo,Niko Price,0.0,0.0,68.0,16.0,0.53,0.3,141.0,58.0,7.0,0.0,0.77,0.0,2.0,1.0,0.0,0.0,554.0,60.0
95,1,0,Junior Tafa,Sean Sharaf,0.0,0.0,71.0,53.0,0.55,0.44,71.0,54.0,0.0,1.0,0.0,0.12,0.0,0.0,0.0,0.0,2.0,46.0
96,1,0,Julia Polastri,Cory McKenna,0.0,0.0,88.0,40.0,0.6,0.32,142.0,98.0,0.0,1.0,0.0,0.16,0.0,0.0,0.0,0.0,193.0,320.0
97,0,1,Dan Argueta,Cody Haddon,0.0,0.0,54.0,140.0,0.38,0.5,65.0,148.0,4.0,2.0,0.16,0.5,1.0,0.0,0.0,0.0,263.0,91.0
98,1,0,Clayton Carpenter,Lucas Rocha,0.0,0.0,34.0,17.0,0.56,0.41,36.0,21.0,2.0,0.0,0.66,0.0,1.0,0.0,0.0,0.0,278.0,0.0
99,1,0,Alex Pereira,Khalil Rountree Jr.,1.0,0.0,127.0,61.0,0.6,0.31,129.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0,1,Raquel Pennington,Julianna Pena,1.0,0.0,92.0,92.0,0.29,0.35,112.0,123.0,0.0,2.0,0.0,0.66,0.0,1.0,0.0,0.0,33.0,340.0
101,0,1,Jose Aldo,Mario Bautista,0.0,0.0,51.0,49.0,0.43,0.34,65.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435.0
102,1,0,Roman Dolidze,Kevin Holland,0.0,0.0,19.0,18.0,0.57,0.64,57.0,36.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0
103,0,1,Ketlen Vieira,Kayla Harrison,0.0,0.0,24.0,55.0,0.39,0.58,67.0,98.0,0.0,2.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,474.0
104,0,1,Stephen Thompson,Joaquin Buckley,0.0,1.0,49.0,34.0,0.46,0.36,63.0,55.0,0.0,4.0,0.0,0.57,0.0,0.0,0.0,0.0,3.0,253.0
105,0,1,Marina Rodriguez,Iasmin Lucindo,0.0,0.0,33.0,30.0,0.33,0.41,65.0,55.0,1.0,3.0,1.0,0.75,0.0,0.0,0.0,1.0,11.0,280.0
106,0,1,Austin Hubbard,Alexander Hernandez,0.0,0.0,63.0,79.0,0.32,0.38,65.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,40.0
107,1,0,Cesar Almeida,Ihor Potieria,0.0,0.0,57.0,44.0,0.5,0.49,78.0,57.0,0.0,3.0,0.0,0.37,1.0,0.0,1.0,0.0,135.0,212.0
108,1,0,Ryan Spann,Ovince Saint Preux,0.0,0.0,9.0,7.0,0.45,0.7,9.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0
109,0,1,Carla Esparza,Tecia Pennington,0.0,0.0,39.0,80.0,0.31,0.53,116.0,94.0,4.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,220.0,0.0
110,1,0,Court McGee,Tim Means,0.0,0.0,14.0,5.0,0.58,0.38,19.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,118.0,0.0
111,1,0,Renato Moicano,Benoit Saint Denis,0.0,0.0,50.0,25.0,0.69,0.41,72.0,35.0,1.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,293.0,5.0
112,1,0,Nassourdine Imavov,Brendan Allen,0.0,0.0,57.0,30.0,0.66,0.57,79.0,56.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,347.0,366.0
113,1,0,William Gomis,Joanderson Brito,0.0,0.0,43.0,29.0,0.6,0.43,69.0,57.0,0.0,3.0,0.0,0.5,0.0,2.0,1.0,0.0,232.0,400.0
114,0,1,Kevin Jousset,Bryan Battle,0.0,0.0,58.0,97.0,0.59,0.57,63.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,211.0
115,1,0,Morgan Charriere,Gabriel Miranda,1.0,0.0,19.0,11.0,0.67,0.28,28.0,17.0,2.0,1.0,1.0,0.25,0.0,0.0,1.0,0.0,132.0,67.0
116,1,0,Fares Ziam,Matt Frevola,1.0,0.0,58.0,16.0,0.61,0.27,69.0,25.0,4.0,1.0,1.0,0.33,1.0,1.0,1.0,1.0,283.0,167.0
117,1,0,Ion Cutelaba,Ivan Erslan,0.0,0.0,45.0,39.0,0.37,0.56,80.0,63.0,3.0,1.0,0.25,0.5,0.0,0.0,0.0,1.0,119.0,319.0
118,1,0,Oumar Sy,Da Woon Jung,0.0,0.0,90.0,29.0,0.6,0.24,97.0,36.0,2.0,0.0,0.28,0.0,0.0,0.0,0.0,1.0,182.0,9.0
119,1,0,Ludovit Klein,Roosevelt Roberts,0.0,0.0,45.0,24.0,0.47,0.4,107.0,58.0,2.0,0.0,0.66,0.0,0.0,0.0,0.0,0.0,531.0,43.0
120,1,0,Taylor Lapilus,Vince Morales,0.0,0.0,94.0,39.0,0.46,0.27,99.0,49.0,0.0,2.0,0.0,0.33,0.0,0.0,0.0,0.0,10.0,182.0
121,1,0,Ailin Perez,Daria Zhelezniakova,0.0,0.0,7.0,5.0,0.58,0.41,22.0,12.0,2.0,1.0,0.5,1.0,1.0,0.0,0.0,0.0,102.0,39.0
122,1,0,Daniel Barez,Victor Altamirano,1.0,0.0,67.0,71.0,0.51,0.4,78.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0
123,0,1,Nora Cornolle,Jacqueline Cavalcanti,0.0,0.0,54.0,54.0,0.47,0.35,80.0,87.0,1.0,0.0,0.11,0.0,0.0,0.0,0.0,1.0,236.0,69.0
124,0,1,Bolaji Oki,Chris Duncan,0.0,0.0,28.0,10.0,0.56,0.4,29.0,12.0,2.0,0.0,0.66,0.0,0.0,1.0,0.0,0.0,71.0,0.0
125,0,1,Sean O'Malley,Merab Dvalishvili,0.0,0.0,47.0,82.0,0.52,0.5,49.0,214.0,0.0,6.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,603.0
126,0,1,Alexa Grasso,Valentina Shevchenko,0.0,0.0,18.0,45.0,0.18,0.56,153.0,193.0,1.0,8.0,0.25,0.66,2.0,0.0,0.0,0.0,49.0,964.0
127,0,1,Brian Ortega,Diego Lopes,0.0,0.0,63.0,106.0,0.32,0.51,69.0,113.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,165.0
128,0,1,Daniel Zellhuber,Esteban Ribovics,1.0,0.0,121.0,156.0,0.39,0.45,121.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0
129,1,0,Ronaldo Rodriguez,Ode Osbourne,0.0,1.0,35.0,37.0,0.5,0.54,68.0,55.0,1.0,1.0,0.5,0.33,0.0,2.0,1.0,1.0,554.0,67.0
130,0,1,Irene Aldana,Norma Dumont,0.0,0.0,69.0,159.0,0.37,0.51,69.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0
131,0,1,Manuel Torres,Ignacio Bahamondes,0.0,2.0,20.0,31.0,0.46,0.53,20.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,38.0
132,0,1,Yazmin Jauregui,Ketlen Souza,0.0,1.0,35.0,21.0,0.47,0.6,35.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0
133,0,1,Edgar Chairez,Joshua Van,0.0,0.0,79.0,118.0,0.41,0.59,87.0,183.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,27.0,266.0
134,1,0,Raul Rosas Jr., Aoriqileng,0.0,0.0,41.0,22.0,0.43,0.4,98.0,80.0,3.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,452.0,0.0
135,0,1,Gilbert Burns,Sean Brady,0.0,0.0,47.0,130.0,0.48,0.59,76.0,274.0,1.0,7.0,0.16,0.41,0.0,0.0,0.0,0.0,163.0,634.0
136,0,1,Jessica Andrade,Natalia Silva,0.0,0.0,50.0,117.0,0.35,0.56,62.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,49.0
137,1,0,Steve Garcia,Kyle Nelson,0.0,0.0,22.0,1.0,0.59,0.5,39.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,96.0,133.0
138,0,1,Matt Schnell,Cody Durden,0.0,0.0,40.0,34.0,0.48,0.43,40.0,37.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
139,0,1,Trevor Peek,Yanal Ashmouz,0.0,0.0,55.0,42.0,0.51,0.63,63.0,85.0,0.0,9.0,0.0,0.5,0.0,0.0,0.0,0.0,30.0,496.0
140,0,1, Rongzhu,Chris Padilla,0.0,0.0,49.0,68.0,0.55,0.64,49.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0
141,1,0,Isaac Dulgarian,Brendon Marotte,0.0,0.0,41.0,3.0,0.73,0.42,102.0,22.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,552.0,0.0
142,0,1,Felipe dos Santos,Andre Lima,0.0,0.0,38.0,18.0,0.5,0.48,69.0,43.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,41.0,540.0
