,Winner,Loser,Red,Blue,Knockdowns (R),Knockdowns (B),Significant Strikes (R),Significant Strikes (B),Significant Strikes Percentage (R),Significant Strikes Percentage (B),Total Strikes (R),Total Strikes (B),Takedowns (R),Takedowns (B),Takedowns Percentage (R),Takedowns Percentage (B),Submission Attempts (R),Submission Attempts (B),Reversals (R),Reversals (B),Control Time (seconds) (R),Control Time (seconds) (B)
4317,1,0,Chris Camozzi,Joe Riggs,1.0,0.0,11.0,0.0,0.84,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4318,1,0,James Krause,Shane Campbell,0.0,0.0,47.0,82.0,0.42,0.63,55.0,106.0,2.0,2.0,0.14,0.66,2.0,0.0,0.0,0.0,342.0,204.0
4319,0,1,Alex Garcia,Sean Strickland,0.0,1.0,23.0,84.0,0.34,0.48,41.0,113.0,3.0,1.0,0.42,0.5,0.0,0.0,0.0,0.0,209.0,167.0
4320,0,1,Daniel Sarafian,Oluwale Bamgbose,0.0,1.0,0.0,8.0,0.0,0.4,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
4321,0,1,Marion Reneau,Ashlee Evans-Smith,0.0,0.0,53.0,55.0,0.37,0.25,55.0,57.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,11.0,49.0
4322,0,1,Anthony Hamilton,Shamil Abdurakhimov,0.0,0.0,40.0,62.0,0.51,0.59,48.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,4.0
4323,0,1,Johny Hendricks,Stephen Thompson,0.0,1.0,7.0,24.0,0.43,0.52,11.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0
4324,1,0,Roy Nelson,Jared Rosholt,0.0,0.0,42.0,36.0,0.34,0.3,42.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4325,1,0,Ovince Saint Preux,Rafael Cavalcante,0.0,0.0,51.0,10.0,0.5,0.45,106.0,29.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,395.0,0.0
4326,1,0,Joseph Benavidez,Zach Makovsky,0.0,0.0,66.0,40.0,0.33,0.41,82.0,43.0,0.0,4.0,0.0,0.21,0.0,0.0,0.0,0.0,35.0,79.0
4327,1,0,Misha Cirkunov,Alex Nicholson,0.0,0.0,32.0,16.0,0.5,0.31,66.0,16.0,3.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,128.0,0.0
4328,1,0,Mike Pyle,Sean Spencer,0.0,1.0,75.0,50.0,0.42,0.24,79.0,54.0,1.0,0.0,0.25,0.0,0.0,0.0,1.0,0.0,113.0,33.0
4329,1,0,Joshua Burkman,KJ Noons,0.0,0.0,57.0,33.0,0.52,0.52,62.0,45.0,3.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,183.0,0.0
